5000	0.015924
6000	0.020117
7000	0.026711
8000	0.035077
9000	0.044036
10000	0.055813
11000	0.065882
12000	0.077974
13000	0.090819
14000	0.106079
15000	0.121240
16000	0.137974
17000	0.156062
18000	0.178656
19000	0.196447
20000	0.217930
21000	0.240146
22000	0.263951
23000	0.290750
24000	0.313412
25000	0.341232
26000	0.371855
27000	0.396545
28000	0.422884
29000	0.454693
30000	0.487951
31000	0.519720
32000	0.556883
33000	0.593315
34000	0.626670
35000	0.657365
36000	0.697845
37000	0.743719
38000	0.794508
39000	0.820846
40000	0.872954
41000	0.919477
42000	0.961796
43000	1.008245
44000	1.057123
45000	1.107523
46000	1.153419
47000	1.207085
48000	1.253023
49000	1.295792
50000	1.350040
