5000	0.000400
6000	0.000453
7000	0.000574
8000	0.000626
9000	0.000698
10000	0.000805
11000	0.000874
12000	0.000951
13000	0.001088
14000	0.001159
15000	0.001261
16000	0.001310
17000	0.001399
18000	0.001293
19000	0.001372
20000	0.001471
21000	0.001540
22000	0.001628
23000	0.001683
24000	0.001804
25000	0.001834
26000	0.001939
27000	0.002022
28000	0.002094
29000	0.002192
30000	0.002196
31000	0.002329
32000	0.002432
33000	0.002490
34000	0.002544
35000	0.002659
36000	0.002750
37000	0.002687
38000	0.002878
39000	0.003035
40000	0.003058
41000	0.003135
42000	0.003194
43000	0.003244
44000	0.003325
45000	0.003527
46000	0.003506
47000	0.003639
48000	0.003675
49000	0.003709
50000	0.003782
